time,latitude,longitude,altitude (ft)
2020-10-23 19:07:54,43.004367984,-78.799486288,580.3
2020-10-23 19:07:57,43.004362368,-78.799454335,580.4
2020-10-23 19:07:59,43.004361876,-78.799416135,579.9
2020-10-23 19:08:01,43.004364756,-78.799384058,580.4
2020-10-23 19:08:03,43.004361032,-78.799350774,581.4
2020-10-23 19:08:05,43.004359542,-78.799319084,582.4
2020-10-23 19:08:07,43.004356921,-78.799291228,582.6
2020-10-23 19:08:09,43.004356730,-78.799261447,580.9
2020-10-23 19:08:11,43.004361665,-78.799227299,581.9
2020-10-23 19:08:13,43.004355986,-78.799192444,582.1
2020-10-23 19:08:15,43.004361404,-78.799156014,582.0
2020-10-23 19:08:17,43.004359809,-78.799127246,582.4
2020-10-23 19:08:19,43.004360426,-78.799090733,583.3
2020-10-23 19:08:21,43.004358530,-78.799063810,582.1
2020-10-23 19:08:23,43.004358016,-78.799029492,582.1
2020-10-23 19:08:24,43.004362080,-78.799003977,581.9
2020-10-23 19:08:26,43.004373710,-78.798971877,581.3
2020-10-23 19:08:28,43.004389187,-78.798944701,581.4
2020-10-23 19:08:30,43.004404963,-78.798921683,580.9
2020-10-23 19:08:32,43.004426627,-78.798905905,581.5
2020-10-23 19:08:34,43.004449490,-78.798894266,582.5
2020-10-23 19:08:36,43.004464734,-78.798861626,582.5
2020-10-23 19:08:37,43.004466885,-78.798820234,581.0
2020-10-23 19:08:38,43.004457475,-78.798792768,583.5
2020-10-23 19:08:40,43.004464135,-78.798744587,582.8
2020-10-23 19:08:42,43.004468912,-78.798695579,583.0
2020-10-23 19:08:44,43.004475013,-78.798653705,581.7
2020-10-23 19:08:46,43.004473942,-78.798623542,583.1
2020-10-23 19:08:48,43.004475425,-78.798582653,582.4
2020-10-23 19:08:50,43.004462140,-78.798548495,585.5
2020-10-23 19:08:52,43.004444602,-78.798528288,581.6
2020-10-23 19:08:53,43.004425835,-78.798525700,583.8
2020-10-23 19:08:54,43.004405672,-78.798524325,584.4
2020-10-23 19:08:56,43.004376383,-78.798521431,581.9
2020-10-23 19:08:58,43.004346508,-78.798519321,585.8
2020-10-23 19:09:00,43.004318128,-78.798519687,582.5
2020-10-23 19:09:02,43.004289306,-78.798517076,583.3
2020-10-23 19:09:04,43.004266661,-78.798518640,582.9
2020-10-23 19:09:06,43.004239520,-78.798520369,582.1
2020-10-23 19:09:08,43.004215422,-78.798520002,583.5
2020-10-23 19:09:10,43.004187744,-78.798520664,583.2
2020-10-23 19:09:12,43.004163189,-78.798524647,578.8
2020-10-23 19:09:14,43.004132600,-78.798518238,581.9
2020-10-23 19:09:16,43.004103348,-78.798508288,580.8
2020-10-23 19:09:18,43.004075763,-78.798512059,587.7
2020-10-23 19:09:20,43.004052173,-78.798521599,588.6
2020-10-23 19:09:22,43.004024837,-78.798514047,589.3
2020-10-23 19:09:24,43.003998727,-78.798516888,587.3
2020-10-23 19:09:26,43.003972280,-78.798520489,586.8
2020-10-23 19:09:28,43.003944500,-78.798520566,586.8
2020-10-23 19:09:30,43.003922958,-78.798521036,579.8
2020-10-23 19:09:32,43.003893537,-78.798517331,581.8
2020-10-23 19:09:34,43.003866328,-78.798518577,585.4
2020-10-23 19:09:36,43.003838922,-78.798520475,583.5
2020-10-23 19:09:38,43.003816019,-78.798510599,581.5
2020-10-23 19:09:40,43.003787773,-78.798507433,584.4
2020-10-23 19:09:42,43.003757982,-78.798508368,583.9
2020-10-23 19:09:44,43.003732155,-78.798506831,584.3
2020-10-23 19:09:46,43.003706148,-78.798505533,584.7
2020-10-23 19:09:48,43.003682482,-78.798499265,580.6
2020-10-23 19:09:50,43.003658276,-78.798495305,583.9
2020-10-23 19:09:52,43.003631198,-78.798492572,581.9
2020-10-23 19:09:54,43.003607881,-78.798493510,582.6
2020-10-23 19:09:56,43.003581425,-78.798493954,583.5
2020-10-23 19:09:58,43.003554908,-78.798495319,583.5
2020-10-23 19:10:00,43.003530244,-78.798497972,584.7
2020-10-23 19:10:02,43.003501932,-78.798498631,583.3
2020-10-23 19:10:04,43.003472011,-78.798495511,582.7
2020-10-23 19:10:06,43.003445744,-78.798492969,583.0
2020-10-23 19:10:08,43.003418904,-78.798493315,586.7
2020-10-23 19:10:10,43.003394311,-78.798496046,584.0
2020-10-23 19:10:12,43.003363329,-78.798496337,582.2
2020-10-23 19:10:14,43.003339363,-78.798498066,583.0
2020-10-23 19:10:16,43.003312366,-78.798496913,581.8
2020-10-23 19:10:18,43.003289325,-78.798494869,585.8
2020-10-23 19:10:20,43.003266551,-78.798492196,584.7
2020-10-23 19:10:22,43.003241640,-78.798494845,580.9
2020-10-23 19:10:24,43.003215276,-78.798497060,582.8
2020-10-23 19:10:26,43.003191838,-78.798493748,584.9
2020-10-23 19:10:28,43.003169330,-78.798496438,585.6
2020-10-23 19:10:30,43.003145886,-78.798499453,585.7
2020-10-23 19:10:32,43.003120623,-78.798498550,584.0
2020-10-23 19:10:34,43.003097500,-78.798500229,582.2
2020-10-23 19:10:36,43.003076079,-78.798502319,582.0
2020-10-23 19:10:38,43.003049646,-78.798501070,583.3
2020-10-23 19:10:40,43.003021143,-78.798495734,582.2
2020-10-23 19:10:42,43.002995046,-78.798496731,583.6
2020-10-23 19:10:44,43.002966148,-78.798497591,583.0
2020-10-23 19:10:46,43.002944569,-78.798501027,584.1
2020-10-23 19:10:48,43.002921229,-78.798502617,583.0
2020-10-23 19:10:50,43.002893104,-78.798501428,582.5
2020-10-23 19:10:52,43.002869605,-78.798495782,581.4
2020-10-23 19:10:54,43.002845412,-78.798493251,581.1
2020-10-23 19:10:56,43.002819887,-78.798493586,582.3
2020-10-23 19:10:58,43.002794595,-78.798496501,581.8
2020-10-23 19:11:00,43.002772339,-78.798492269,581.1
2020-10-23 19:11:02,43.002743602,-78.798492217,581.1
2020-10-23 19:11:04,43.002718257,-78.798494344,581.0
2020-10-23 19:11:06,43.002689238,-78.798492780,580.6
2020-10-23 19:11:08,43.002661786,-78.798493833,580.1
2020-10-23 19:11:10,43.002635459,-78.798493570,580.8
2020-10-23 19:11:12,43.002611588,-78.798490452,581.8
2020-10-23 19:11:14,43.002585430,-78.798488306,578.7
2020-10-23 19:11:16,43.002561057,-78.798491714,577.5
2020-10-23 19:11:18,43.002531735,-78.798490526,577.6
2020-10-23 19:11:20,43.002504101,-78.798487934,582.9
2020-10-23 19:11:22,43.002478141,-78.798490678,578.4
2020-10-23 19:11:24,43.002453736,-78.798495760,577.9
2020-10-23 19:11:26,43.002428767,-78.798491144,584.0
2020-10-23 19:11:28,43.002402769,-78.798490438,581.1
2020-10-23 19:11:30,43.002378323,-78.798490248,580.3
2020-10-23 19:11:32,43.002352819,-78.798487853,583.2
2020-10-23 19:11:34,43.002328172,-78.798490635,574.8
2020-10-23 19:11:36,43.002296871,-78.798485555,581.1
2020-10-23 19:11:38,43.002269472,-78.798487525,579.3
2020-10-23 19:11:40,43.002244118,-78.798488680,588.5
2020-10-23 19:11:42,43.002213198,-78.798489571,581.6
2020-10-23 19:11:44,43.002189008,-78.798491248,579.2
2020-10-23 19:11:46,43.002164981,-78.798492856,580.1
2020-10-23 19:11:48,43.002141390,-78.798495358,582.2
2020-10-23 19:11:50,43.002114599,-78.798491767,577.7
2020-10-23 19:11:52,43.002089542,-78.798497789,580.3
2020-10-23 19:11:54,43.002065199,-78.798497232,581.0
2020-10-23 19:11:56,43.002040469,-78.798500424,579.2
2020-10-23 19:11:58,43.002014449,-78.798499927,581.3
2020-10-23 19:12:00,43.001989555,-78.798499597,582.1
2020-10-23 19:12:02,43.001961520,-78.798496954,578.1
2020-10-23 19:12:04,43.001933704,-78.798492712,582.0
2020-10-23 19:12:06,43.001906399,-78.798492653,580.1
2020-10-23 19:12:08,43.001879937,-78.798498951,582.3
2020-10-23 19:12:10,43.001851527,-78.798494058,584.4
2020-10-23 19:12:12,43.001825605,-78.798497171,581.0
2020-10-23 19:12:14,43.001800302,-78.798497839,581.7
2020-10-23 19:12:16,43.001772106,-78.798498475,579.2
2020-10-23 19:12:18,43.001742690,-78.798495987,581.4
2020-10-23 19:12:20,43.001716867,-78.798492525,580.8
2020-10-23 19:12:22,43.001684954,-78.798494857,584.3
