time,longitude,latitude,altitude (ft)
2020/10/23 19:28:08+00,-78.804044,42.991706,181.167068
2020/10/23 19:28:09+00,-78.804051,42.991708,181.164352
2020/10/23 19:28:10+00,-78.804056,42.99171,181.162933
2020/10/23 19:28:11+00,-78.804058,42.991711,181.162888
2020/10/23 19:28:12+00,-78.804059,42.991711,181.164246
2020/10/23 19:28:13+00,-78.804058,42.991711,181.166916
2020/10/23 19:28:14+00,-78.804054,42.991711,181.170807
2020/10/23 19:28:15+00,-78.804049,42.991709,181.175735
2020/10/23 19:28:16+00,-78.804042,42.991708,181.181473
2020/10/23 19:28:17+00,-78.804034,42.991705,181.187805
2020/10/23 19:28:18+00,-78.804025,42.991702,181.194427
2020/10/23 19:28:19+00,-78.804015,42.991698,181.20105
2020/10/23 19:28:20+00,-78.804004,42.991693,181.207413
2020/10/23 19:28:21+00,-78.803992,42.991688,181.213211
2020/10/23 19:28:22+00,-78.80398,42.991682,181.21817
2020/10/23 19:28:23+00,-78.803968,42.991676,181.222061
2020/10/23 19:28:24+00,-78.803957,42.991669,181.22467
2020/10/23 19:28:25+00,-78.803945,42.991661,181.225876
2020/10/23 19:28:26+00,-78.803935,42.991652,181.225616
2020/10/23 19:28:27+00,-78.803924,42.991643,181.223862
2020/10/23 19:28:28+00,-78.803914,42.991634,181.220718
2020/10/23 19:28:29+00,-78.803905,42.991624,181.216339
2020/10/23 19:28:30+00,-78.803898,42.991609,181.201126
2020/10/23 19:28:31+00,-78.803899,42.991596,181.202835
2020/10/23 19:28:32+00,-78.803901,42.991583,181.20401
2020/10/23 19:28:33+00,-78.803903,42.991571,181.204636
2020/10/23 19:28:34+00,-78.803905,42.991558,181.204742
2020/10/23 19:28:35+00,-78.803908,42.991546,181.204407
2020/10/23 19:28:36+00,-78.803911,42.991534,181.203735
2020/10/23 19:28:37+00,-78.803914,42.991522,181.202805
2020/10/23 19:28:38+00,-78.803918,42.99151,181.201736
2020/10/23 19:28:39+00,-78.803922,42.991498,181.200623
2020/10/23 19:28:40+00,-78.803927,42.991486,181.199524
2020/10/23 19:28:41+00,-78.803931,42.991474,181.198532
2020/10/23 19:28:42+00,-78.803936,42.991462,181.197723
2020/10/23 19:28:43+00,-78.803941,42.991451,181.197144
2020/10/23 19:28:44+00,-78.803946,42.991439,181.196838
2020/10/23 19:28:45+00,-78.803951,42.991427,181.196869
2020/10/23 19:28:46+00,-78.803956,42.991415,181.197205
2020/10/23 19:28:47+00,-78.803961,42.991404,181.197845
2020/10/23 19:28:48+00,-78.803967,42.991392,181.198746
2020/10/23 19:28:49+00,-78.803972,42.99138,181.19986
2020/10/23 19:28:50+00,-78.803978,42.991367,181.201187
2020/10/23 19:28:51+00,-78.803984,42.991355,181.202789
2020/10/23 19:28:52+00,-78.80399,42.991343,181.20462
2020/10/23 19:28:53+00,-78.803996,42.991331,181.20665
2020/10/23 19:28:54+00,-78.804002,42.991318,181.20874
2020/10/23 19:28:55+00,-78.804008,42.991306,181.210663
2020/10/23 19:28:56+00,-78.804015,42.991293,181.212158
2020/10/23 19:28:57+00,-78.804021,42.99128,181.212952
2020/10/23 19:28:58+00,-78.804028,42.991268,181.21283
2020/10/23 19:28:59+00,-78.804036,42.991255,181.211609
2020/10/23 19:29:00+00,-78.804043,42.991242,181.209198
2020/10/23 19:29:01+00,-78.804051,42.99123,181.205643
2020/10/23 19:29:02+00,-78.804059,42.991217,181.201111
2020/10/23 19:29:03+00,-78.804067,42.991204,181.195923
2020/10/23 19:29:04+00,-78.804076,42.991191,181.190414
2020/10/23 19:29:05+00,-78.804084,42.991178,181.184952
2020/10/23 19:29:06+00,-78.804092,42.991165,181.179779
2020/10/23 19:29:07+00,-78.8041,42.991151,181.175018
2020/10/23 19:29:08+00,-78.804107,42.991138,181.170761
2020/10/23 19:29:09+00,-78.804115,42.991125,181.167084
2020/10/23 19:29:10+00,-78.804122,42.991112,181.1642
2020/10/23 19:29:11+00,-78.804129,42.991099,181.162369
2020/10/23 19:29:12+00,-78.804136,42.991086,181.161896
2020/10/23 19:29:13+00,-78.804143,42.991073,181.162979
2020/10/23 19:29:14+00,-78.804149,42.99106,181.165741
2020/10/23 19:29:15+00,-78.804155,42.991047,181.170212
2020/10/23 19:29:16+00,-78.804161,42.991035,181.176422
2020/10/23 19:29:17+00,-78.804167,42.991022,181.184418
2020/10/23 19:29:18+00,-78.804173,42.99101,181.194244
2020/10/23 19:29:19+00,-78.804179,42.990998,181.206009
2020/10/23 19:29:20+00,-78.804185,42.990987,181.219879
2020/10/23 19:29:21+00,-78.804191,42.990976,181.236008
2020/10/23 19:29:22+00,-78.804198,42.990965,181.254608
2020/10/23 19:29:23+00,-78.804205,42.990954,181.275894
2020/10/23 19:29:24+00,-78.804212,42.990945,181.299942
2020/10/23 19:29:25+00,-78.80422,42.990935,181.326828
2020/10/23 19:29:26+00,-78.804228,42.990926,181.35643
2020/10/23 19:29:27+00,-78.804237,42.990918,181.388657
2020/10/23 19:29:28+00,-78.804246,42.99091,181.423325
2020/10/23 19:29:29+00,-78.804257,42.990902,181.46022
2020/10/23 19:29:30+00,-78.804268,42.990896,181.499115
2020/10/23 19:29:31+00,-78.80428,42.990889,181.539749
2020/10/23 19:29:32+00,-78.804293,42.990883,181.581924
2020/10/23 19:29:33+00,-78.804306,42.990878,181.625397
2020/10/23 19:29:34+00,-78.804321,42.990873,181.669891
2020/10/23 19:29:35+00,-78.804336,42.990869,181.715042
2020/10/23 19:29:36+00,-78.804352,42.990865,181.760406
2020/10/23 19:29:37+00,-78.804368,42.990861,181.805496
2020/10/23 19:29:38+00,-78.804386,42.990857,181.849716
2020/10/23 19:29:39+00,-78.804403,42.990855,181.892456
2020/10/23 19:29:40+00,-78.804422,42.990852,181.933121
2020/10/23 19:29:41+00,-78.80444,42.99085,181.971161
2020/10/23 19:29:42+00,-78.80446,42.990848,182.006119
2020/10/23 19:29:43+00,-78.804479,42.990846,182.037689
2020/10/23 19:29:44+00,-78.804498,42.990845,182.065689
2020/10/23 19:29:45+00,-78.804518,42.990844,182.090118
2020/10/23 19:29:46+00,-78.804538,42.990843,182.111115
2020/10/23 19:29:47+00,-78.804558,42.990842,182.128891
2020/10/23 19:29:48+00,-78.804577,42.990841,182.143738
2020/10/23 19:29:49+00,-78.804597,42.99084,182.155945
2020/10/23 19:29:50+00,-78.804617,42.990839,182.165863
2020/10/23 19:29:51+00,-78.804636,42.990838,182.173813
2020/10/23 19:29:52+00,-78.804655,42.990837,182.180161
2020/10/23 19:29:53+00,-78.804674,42.990837,182.185242
2020/10/23 19:29:54+00,-78.804693,42.990836,182.189346
2020/10/23 19:29:55+00,-78.804712,42.990836,182.192749
2020/10/23 19:29:56+00,-78.80473,42.990836,182.195572
2020/10/23 19:29:57+00,-78.804748,42.990836,182.197891
2020/10/23 19:29:58+00,-78.804766,42.990836,182.199692
2020/10/23 19:29:59+00,-78.804784,42.990836,182.200989
2020/10/23 19:30:00+00,-78.804802,42.990835,182.201752
2020/10/23 19:30:01+00,-78.80482,42.990835,182.202011
2020/10/23 19:30:02+00,-78.804838,42.990835,182.201782
2020/10/23 19:30:03+00,-78.804856,42.990835,182.201157
2020/10/23 19:30:04+00,-78.804874,42.990835,182.200195
2020/10/23 19:30:05+00,-78.804891,42.990834,182.198959
2020/10/23 19:30:06+00,-78.804909,42.990834,182.197479
2020/10/23 19:30:07+00,-78.804926,42.990833,182.19577
2020/10/23 19:30:08+00,-78.804943,42.990832,182.193848
2020/10/23 19:30:09+00,-78.804961,42.990831,182.191696
2020/10/23 19:30:10+00,-78.804978,42.99083,182.189301
2020/10/23 19:30:11+00,-78.804996,42.990829,182.186676
2020/10/23 19:30:12+00,-78.805013,42.990828,182.183838
2020/10/23 19:30:13+00,-78.805031,42.990827,182.180817
2020/10/23 19:30:14+00,-78.805049,42.990826,182.177673
2020/10/23 19:30:15+00,-78.805067,42.990825,182.174423
2020/10/23 19:30:16+00,-78.805085,42.990824,182.171097
2020/10/23 19:30:17+00,-78.805103,42.990823,182.167709
2020/10/23 19:30:18+00,-78.805121,42.990822,182.164276
2020/10/23 19:30:19+00,-78.80514,42.990821,182.160797
2020/10/23 19:30:20+00,-78.805159,42.99082,182.157257
2020/10/23 19:30:21+00,-78.805178,42.990819,182.153625
2020/10/23 19:30:22+00,-78.805197,42.990818,182.149887
2020/10/23 19:30:23+00,-78.805216,42.990817,182.145981
2020/10/23 19:30:24+00,-78.805235,42.990816,182.141937
2020/10/23 19:30:25+00,-78.805255,42.990815,182.137741
2020/10/23 19:30:26+00,-78.805274,42.990814,182.133453
2020/10/23 19:30:27+00,-78.805293,42.990813,182.129105
2020/10/23 19:30:28+00,-78.805312,42.990812,182.124756
2020/10/23 19:30:29+00,-78.805331,42.99081,182.120422
2020/10/23 19:30:30+00,-78.80535,42.990809,182.116135
2020/10/23 19:30:31+00,-78.805368,42.990808,182.111877
2020/10/23 19:30:32+00,-78.805386,42.990807,182.107727
2020/10/23 19:30:33+00,-78.805404,42.990805,182.103714
2020/10/23 19:30:34+00,-78.805422,42.990804,182.099899
2020/10/23 19:30:35+00,-78.80544,42.990803,182.096283
2020/10/23 19:30:36+00,-78.805457,42.990802,182.092789
2020/10/23 19:30:37+00,-78.805475,42.990801,182.089325
2020/10/23 19:30:38+00,-78.805492,42.9908,182.085754
2020/10/23 19:30:39+00,-78.805509,42.990799,182.08194
2020/10/23 19:30:40+00,-78.805526,42.990797,182.077759
2020/10/23 19:30:41+00,-78.805542,42.990796,182.073135
2020/10/23 19:30:42+00,-78.805558,42.990794,182.068054
2020/10/23 19:30:43+00,-78.805574,42.990793,182.062592
2020/10/23 19:30:44+00,-78.80559,42.990791,182.0569
2020/10/23 19:30:45+00,-78.805605,42.99079,182.051163
2020/10/23 19:30:46+00,-78.805619,42.990788,182.045609
2020/10/23 19:30:47+00,-78.805633,42.990787,182.040421
2020/10/23 19:30:48+00,-78.805647,42.990785,182.035797
2020/10/23 19:30:49+00,-78.805659,42.990784,182.031891
2020/10/23 19:30:50+00,-78.805672,42.990783,182.028809
2020/10/23 19:30:51+00,-78.805683,42.990782,182.026535
2020/10/23 19:30:52+00,-78.805695,42.990782,182.024963
2020/10/23 19:30:53+00,-78.805706,42.990782,182.023895
2020/10/23 19:30:54+00,-78.805717,42.990783,182.023102
2020/10/23 19:30:55+00,-78.805728,42.990784,182.022354
2020/10/23 19:30:56+00,-78.805739,42.990786,182.021545
2020/10/23 19:30:57+00,-78.80575,42.990788,182.02066
2020/10/23 19:30:58+00,-78.805762,42.990791,182.019806
2020/10/23 19:30:59+00,-78.805773,42.990794,182.01915
2020/10/23 19:31:00+00,-78.805783,42.990798,182.018906
2020/10/23 19:31:01+00,-78.805793,42.990802,182.019302
2020/10/23 19:31:02+00,-78.805803,42.990807,182.020554
2020/10/23 19:31:03+00,-78.805812,42.990813,182.022888
2020/10/23 19:31:04+00,-78.80582,42.990819,182.026505
2020/10/23 19:31:05+00,-78.805827,42.990826,182.03157
2020/10/23 19:31:06+00,-78.805833,42.990834,182.038208
2020/10/23 19:31:07+00,-78.805838,42.990843,182.046494
2020/10/23 19:31:08+00,-78.805841,42.990853,182.056366
2020/10/23 19:31:09+00,-78.805844,42.990863,182.067688
2020/10/23 19:31:10+00,-78.805845,42.990874,182.080231
2020/10/23 19:31:11+00,-78.805845,42.990886,182.093781
